Name,Rating
Zoey Samaras,5
Roland Banks,5
Daisy Walker,5
"""Ashcan"" Pete",5
Jenny Barnes,5
Agnes Baker,5
Wendy Adams,5
William Yorick,5
Rex Murphy,5
"""Skids"" O'Toole",4
Lola Hayes,4
Mark Harrigan,4
Agatha Crane,4
Leo Anderson,4
Jim Culver,4
Lily Chen,4
George Barnaby,4
Preston Fairmont,4
Carolyn Fern,4
Finn Edwards,4
Michael McGlen,4
Ursula Downs,4
Joe Diamond,4
Sefina Rousseau,4
Minh Thi Phan,4
Marion Tavares,4
Charlie Kane,4
Dexter Drake,4
Diana Stanley,4
Darrell Simmons,4
Trish Scarborough,4
Patrice Hathaway,4
Kymani Jones,4
Akachi Onyele,4
Tony Morgan,4
Jacqueline Fine,4
Nathaniel Cho,4
Luke Robinson,4
Winifred Habbamock,4
Tommy Muldoon,3
Mandy Thompson,3
Vincent Lee,3
Norman Withers,3
Father Mateo,3
Monterey Jack,3
Carson Sinclair,3
Sister Mary,3
Rita Young,3
Stella Clark,3
Daniela Reyes,3
Amanda Sharpe,3
Harvey Walters,3
Calvin Wright,3
Bob Jenkins,3
Silas Marsh,3
Alessandra Zorzi,3
Lucius Galloway,3
Kate Winthrop,3
Wilson Richards,3
Kōhaku Narukami,3
Amina Zidane,3
Marie Lambeau,3
Hank Samson,3
Subject 5U-21,3
Gloria Goldberg,3
Emergency Cache,4
Unexpected Courage,4
Guts,4
Perception,4
In the Thick of It,4
Overpower,4
Flashlight,4
Manual Dexterity,3
Knife,3
Calling in Favors,3
Backpack,3
Fine Clothes,2
Painkillers,2
Tempt Fate,2
Trench Coat,2
Heavy Furs,2
Sled Dog,2
Smoking Pipe,2
Refine,2
Say Your Prayers,2
Ascetic,2
Reckless Assault,2
Hyperphysical Shotcaster,2
Desperate Search,2
Tool Belt,2
Eldritch Tongue,1
Run For Your Life,1
Kukri,1
Thermos,1
Well-Dressed,1
Short Rest,0
Bide Your Time,0
Confidence,0
Vicious Blow,4
Machete,4
Prepared for the Worst,4
Dodge,4
Beat Cop,4
Guard Dog,4
.45 Automatic,4
Evidence!,3
Dynamite Blast,3
Hallowed Mirror,3
Take the Initiative,3
Stand Together,3
Scene of the Crime,3
Physical Training,3
Daring,2
Wolf Mask,2
Safeguard,2
Glory,2
"""Let me handle this!""",2
First Aid,2
Toe to Toe,2
Inspiring Presence,2
Grete Wagner,2
Bandolier,2
Runic Axe,2
Steadfast,2
On the Hunt,2
Survival Knife,2
Motivational Speech,2
Emergency Aid,2
Tetsuo Mori,2
Medical Student,2
One-Two Punch,2
.32 Colt,2
Hunter's Armor,2
.45 Thompson,2
Geared Up,2
Clean Them Out,2
"""Get over here!""",2
Alice Luxley,2
"""If it bleeds...""",2
Flesh Ward,2
Breach the Door,2
Taunt,2
First Watch,2
Venturer,2
Ancestral Token,2
Rite of Sanctification,2
Delay the Inevitable,2
Sledgehammer,2
The Book of War,2
True Grit,2
Tinker,2
Ready for Anything,2
Second Wind,2
Custom Modifications,2
Monster Slayer,2
Counterpunch,2
Something Worth Fighting For,2
Remington Model 1858,2
Cleaning Kit,2
Trusted,2
Blessed Blade,2
Heroic Rescue,2
Boxing Gloves,2
Book of Psalms,2
Teamwork,2
Hand of Fate,2
Solemn Vow,2
Crowbar,2
Obsidian Bracelet,2
One in the Chamber,1
Primed for Action,1
Relentless,1
"""Get behind me!""",1
Riot Whistle,1
Purified,1
Task Force,1
Handcuffs,1
Guided by Faith,1
.35 Winchester,1
Leadership,1
Fighting Lessons,1
Self-Sacrifice,1
Helping Hand,1
Katana,1
"""I'll see you in hell!""",1
Interrogate,1
Blackjack,1
Intrepid,0
Trench Knife,0
Absolution,0
Ofuda,0
Warning Shot,0
Keen Eye,0
"""Eat lead!""",0
Grievous Wound,0
Hardboiled,0
Bolas,0
Hold Up,0
Ward of Protection,4
Shrivelling,4
Holy Rosary,4
Drawn to the Flame,4
Deny Existence,4
Spectral Razor,4
Promise of Power,3
Read the Signs,3
Arcane Initiate,3
Uncage the Soul,3
Fearless,3
Delve Too Deep,3
St. Hubert's Key,3
Rite of Seeking,3
Enchanted Blade,2
Sixth Sense,2
Arcane Research,2
Arcane Studies,2
Storm of Spirits,2
Forbidden Knowledge,2
Voice of Ra,2
Down the Rabbit Hole,2
Scrying,2
The Great Work,2
David Renfield,2
Blinding Light,2
Talisman of Protection,2
Enraptured,2
Robes of Endless Night,2
Eyes of the Dreamer,2
Clairvoyance,2
Ritual Candles,2
Spectral Shield,2
Azure Flame,3
Premonition,2
Sword Cane,2
Dark Prophecy,2
Quantum Flux,2
Olive McBride,2
Crystal Pendulum,2
Alyssa Graham,2
Hypnotic Gaze,2
Living Ink,2
Mists of R'lyeh,2
String of Curses,2
Defiance,2
The Chthonian Stone,2
Wither,2
Clarity of Mind,2
Moonlight Ritual,2
Power Word,2
Prescient,2
Cat Mask,2
Dragon Pole,2
Eldritch Inspiration,2
Breath of the Sleeper,2
Scroll of Prophecies,2
Ward of Radiance,2
Astral Travel,2
Prophesy,2
Ethereal Form,2
Open Gate,2
Drain Essence,2
Armageddon,2
Alchemical Transmutation,2
Scrying Mirror,2
Sign Magick,2
Katarina Sojka,1
Familiar Spirit,1
Summoned Servitor,1
Hallowed Chalice,1
Eye of Chaos,1
Dowsing Rod,1
Ineffable Truth,1
Ceremonial Sickle,1
Meditative Trance,1
Explosive Ward,1
Whispers of Doom,1
Eldritch Initiation,1
Torrent of Power,1
Accursed,1
Blood Pact,1
Parallel Fates,1
Healing Words,1
Tides of Fate,0
Rod of Carnamagos,0
Wicked Athame,0
Onyx Pentacle,0
Speak to the Dead,0
Shroud of Shadows,0
Sign of Xelotaph,0
Blood of Thoth,0
Antediluvian Hymn,0
Deduction,4
Magnifying Glass,4
Shortcut,4
Dr. Milan Christopher,4
Working a Hunch,4
Eureka!,4
Inquiring Mind,4
Crack the Case,3
Mind over Matter,3
Logical Reasoning,3
"""I've got a plan!""",3
Practice Makes Perfect,3
Preposterous Sketches,3
Burning the Midnight Oil,3
Old Book of Lore,3
Hawk-Eye Folding Camera,2
Astounding Revelation,2
Research Librarian,2
Fieldwork,2
No Stone Unturned,2
Deep Knowledge,2
Empirical Hypothesis,2
Laboratory Assistant,2
Hyperawareness,2
Occult Lexicon,2
Scroll of Secrets,2
"Mr. ""Rook""",2
Fingerprint Kit,2
Cryptic Writings,2
Strange Solution,2
Grim Memoir,2
Tooth of Eztli,2
Medical Texts,2
Artistic Inspiration,2
Arcane Enlightenment,2
Seeking Answers,2
Shrewd Analysis,2
Art Student,2
Pocket Telescope,2
Occult Invocation,2
Archaic Glyphs,2
Barricade,2
Mouse Mask,2
Whitton Greene,2
Dr. William T. Maleson,2
Knowledge is Power,2
Dream-Enhancing Serum,2
Forced Learning,2
The Raven Quill,2
Bizarre Diagnosis,2
Jeremiah Kirby,2
Analysis,2
Plan of Action,2
Correlate All Its Contents,2
Thorough Inquiry,2
Captivating Discovery,2
Dream Diary,2
Dr. Elli Horowitz,2
Connect the Dots,2
True Understanding,2
Curiosity,2
Vantage Point,2
Eldritch Sophist,2
Written in the Stars,2
Chemistry Set,2
Map the Area,2
Research Notes,2
Encyclopedia,2
Anatomical Diagrams,2
Alton O'Connell,2
Truth from Fiction,2
Disc of Itzamna,2
Professor William Webb,2
Cryptographic Cipher,1
Higher Education,1
Unearth the Ancients,1
Alchemical Distillation,1
Dissection Tools,1
Microscope,1
Uncanny Specimen,1
Celaeno Fragments,1
Transmogrify,1
Well-Funded,1
"Charles Ross, Esq.",1
Extensive Research,1
Testing Sprint,1
Persuasion,1
Archive of Conduits,1
Ravenous Myconid,1
Feed the Mind,0
Control Variable,0
The Truth Beckons,0
Guidance,0
"""Throw the Book at Them!""",0
Forensic Kit,0
Mortar and Pestle,0
Forbidden Tome,0
Dr. Charles West III,0
Ghastly Revelation,0
Cryptic Grimoire,0
Oculus Mortuum,0
Dial of Ancients,0
Lucky!,4
Resourceful,4
"""Look what I found!""",4
Take Heart,4
Leather Coat,4
Peter Sylvestre,4
Fire Axe,4
Scavenging,3
Rabbit's Foot,3
Track Shoes,3
Cherished Keepsake,3
Schoffner's Catalogue,3
Live and Learn,3
Dark Horse,3
Winging It,3
Old Keyring,2
Scrounge for Supplies,2
Short Supply,2
Drawing Thin,2
Bandages,2
Madame Labranche,2
Rise to the Occasion,2
Meat Cleaver,2
Baseball Bat,2
Act of Desperation,2
Sparrow Mask,2
Gravedigger's Shovel,2
Long Shot,2
Keep Faith,2
Shed a Light,2
Dig Deep,2
Stray Cat,2
Survival Instinct,2
Lantern,2
.18 Derringer,2
Matchbox,2
Nautical Charts,2
A Test of Will,2
Cunning Distraction,2
Contemplative,2
Stunning Blow,2
Lawrence Carlisle,2
Fight or Flight,2
Last Chance,2
Moonstone,2
Grisly Totem,2
Improvised Weapon,2
Pushed to the Limit,2
Jury-Rig,2
A Glimmer of Hope,2
Perseverance,2
Trial by Fire,2
Pocket Multi Tool,2
Waylay,2
Grizzled,2
Exploit Weakness,2
Fortuitous Discovery,2
Newspaper,2
Makeshift Trap,2
Mysterious Raven,2
Granny Orne,2
Mariner's Compass,2
Pitchfork,2
A Chance Encounter,2
Pelt Shipment,2
Hand Hook,2
"""Not without a fight!""",2
Impromptu Barrier,2
Belly of the Beast,1
Hiding Spot,1
Grit Your Teeth,1
End of the Road,1
Idol of Xanatos,1
Bait and Switch,1
Oops!,1
Able Bodied,1
Profane Idol,1
Anchor Chain,1
Predator or Prey,1
Improvised Shield,1
Dumb Luck,1
Scrapper,1
Unconventional Method,1
Elaborate Distraction,1
Beloved,1
Predestined,0
Grimm's Fairy Tales,0
"Wrong Place, Right Time",0
Will to Survive,0
