card_code,name,faction_code,xp,main_decks_including_once,main_deck_occurances,side_decks_including_once,side_deck_occurances
01088,Emergency Cache,neutral,0,4163,7633,41,60
01000,Random Basic Weakness,neutral,0,7423,7540,9,16
01093,Unexpected Courage,neutral,0,3535,6536,30,49
01089,Guts,neutral,0,2970,5346,31,51
01090,Perception,neutral,0,2831,5195,38,64
01091,Overpower,neutral,0,2537,4573,34,56
01087,Flashlight,neutral,0,2373,4331,23,37
01025,Vicious Blow,guardian,0,2217,4084,25,41
01065,Ward of Protection,mystic,0,2083,3765,24,37
01039,Deduction,seeker,0,1957,3561,27,44
01080,Lucky!,survivor,0,1838,3301,19,30
01092,Manual Dexterity,neutral,0,1891,3277,30,49
02022,Shortcut,seeker,0,1508,2778,35,53
01030,Magnifying Glass,seeker,0,1636,2751,17,25
03039,Resourceful,survivor,0,1369,2650,14,25
01079,"""Look what I found!""",survivor,0,1332,2350,18,33
01033,Dr. Milan Christopher,seeker,0,1403,2318,28,40
01060,Shrivelling,mystic,0,1318,2314,15,24
01020,Machete,guardian,0,1348,2312,15,22
01064,Drawn to the Flame,mystic,0,1288,2243,20,30
01059,Holy Rosary,mystic,0,1306,2157,17,25
01037,Working a Hunch,seeker,0,1157,1998,20,31
01048,Leo De Luca,rogue,0,1213,1960,34,45
03231,Eureka!,seeker,0,1021,1943,26,42
02227,Inquiring Mind,seeker,0,1047,1933,25,40
02184,Prepared for the Worst,guardian,0,1245,1844,20,30
01023,Dodge,guardian,0,1107,1845,10,16
02188,Lone Wolf,rogue,0,1162,1814,20,24
02229,Quick Thinking,rogue,0,973,1799,22,37
05032,Deny Existence,mystic,0,956,1765,20,30
01018,Beat Cop,guardian,0,1049,1757,23,33
01021,Guard Dog,guardian,0,1048,1744,17,26
02033,Peter Sylvestre,survivor,0,968,1736,18,27
02032,Fire Axe,survivor,0,933,1704,11,19
04201,Take Heart,survivor,0,869,1647,16,27
01016,.45 Automatic,guardian,0,997,1611,8,12
01022,Evidence!,guardian,0,948,1598,12,17
01050,Elusive,rogue,0,991,1537,9,14
02158,Charisma (3),neutral,3,900,1051,422,498
01086,Knife,neutral,0,829,1463,3,4
01051,Backstab,rogue,0,855,1424,15,19
05110,Crack the Case,seeker,0,764,1424,14,18
01063,Arcane Initiate,mystic,0,822,1417,16,25
01072,Leather Coat,survivor,0,937,1399,14,21
03033,Uncage the Soul,mystic,0,755,1408,8,11
01036,Mind over Matter,seeker,0,801,1314,7,9
08125,In the Thick of It,neutral,0,1291,1291,27,27
03233,"""Watch this!""",rogue,0,692,1275,17,26
02028,Rite of Seeking,mystic,0,707,1276,10,18
02107,"""I've got a plan!""",seeker,0,702,1261,9,11
02111,Delve Too Deep,mystic,0,713,1194,45,77
01067,Fearless,mystic,0,741,1242,15,22
04150,Take the Initiative,guardian,0,657,1227,17,30
06201,Spectral Razor,mystic,0,660,1220,18,31
01073,Scavenging,survivor,0,735,1148,29,42
04103,Scene of the Crime,guardian,0,615,1154,16,27
04107,Lucky Cigarette Case,rogue,0,681,1140,19,32
03158,Calling in Favors,neutral,0,658,1151,13,18
01052,Sneak Attack,rogue,0,682,1143,12,19
06117,Read the Signs,mystic,0,584,1082,26,45
01075,Rabbit's Foot,survivor,0,704,1111,10,13
03191,Logical Reasoning,seeker,0,658,1090,18,20
02234,Dark Horse,survivor,0,609,1083,7,13
03269,St. Hubert's Key,mystic,0,617,1064,15,21
03114,Cherished Keepsake,survivor,0,617,1061,13,23
01024,Dynamite Blast,guardian,0,835,1064,11,15
02186,Preposterous Sketches,seeker,0,574,1026,18,30
07032,Promise of Power,mystic,0,526,1000,17,26
01017,Physical Training,guardian,0,698,1013,10,12
06023,Astounding Revelation,seeker,0,381,949,14,31
06026,Easy Mark (1),rogue,1,276,823,51,147
04037,Backpack,neutral,0,558,907,33,54
01031,Old Book of Lore,seeker,0,601,945,7,11
03022,"""Let me handle this!""",guardian,0,515,922,14,24
