investigator_name,occurances,date_released
Zoey Samaras,460,2017-01-12
Roland Banks,458,2016-11-10
Daisy Walker,437,2016-11-10
"""Ashcan"" Pete",416,2017-01-12
Jenny Barnes,380,2017-01-12
Agnes Baker,345,2016-11-10
Wendy Adams,345,2016-11-10
Rex Murphy,310,2017-01-12
William Yorick,298,2017-09-14
"""Skids"" O'Toole",290,2016-11-10
Jim Culver,245,2017-01-12
Lola Hayes,231,2017-09-14
Mark Harrigan,231,2017-09-14
Leo Anderson,209,2018-05-10
Sefina Rousseau,202,2017-09-14
Carolyn Fern,199,2018-04-05
Finn Edwards,193,2018-05-10
Minh Thi Phan,191,2017-09-14
Ursula Downs,188,2018-05-10
Preston Fairmont,179,2019-01-31
Joe Diamond,170,2019-01-31
Akachi Onyele,161,2017-09-14
Diana Stanley,150,2019-01-31
Norman Withers,137,2017-12-07
Father Mateo,129,2018-05-10
Patrice Hathaway,126,2019-09-27
Dexter Drake,122,2020-06-05
Tony Morgan,118,2019-09-27
Lily Chen,115,2021-09-10
Rita Young,114,2019-01-31
Luke Robinson,114,2019-09-27
Calvin Wright,114,2018-05-10
Tommy Muldoon,110,2019-09-27
Silas Marsh,109,2018-06-07
Trish Scarborough,108,2020-10-02
Mandy Thompson,107,2019-09-27
Jacqueline Fine,100,2020-08-28
Nathaniel Cho,99,2020-08-28
Winifred Habbamock,96,2020-08-28
Sister Mary,87,2020-10-02
Marie Lambeau,86,2016-12-14
Stella Clark,85,2020-08-28
Amanda Sharpe,81,2020-10-02
Harvey Walters,80,2020-08-28
Charlie Kane,72,2022-09-30
Monterey Jack,72,2021-09-10
Darrell Simmons,68,2022-09-30
Daniela Reyes,67,2021-09-10
Kymani Jones,64,2022-09-30
Bob Jenkins,63,2021-09-10
Vincent Lee,55,2022-09-30
Carson Sinclair,54,2022-09-30
Alessandra Zorzi,40,2023-02-16
Gloria Goldberg,39,2020-11-06
Kate Winthrop,38,2023-02-16
Amina Zidane,36,2022-09-30
Wilson Richards,35,2023-02-16
Kōhaku Narukami,32,2023-02-16
Hank Samson,27,2023-02-16
Agatha Crane,24,2025-02-07
George Barnaby,23,2025-02-07
Michael McGlen,22,2025-02-07
Marion Tavares,20,2025-02-07
Subject 5U-21,20,2023-08-01
Lucius Galloway,12,2025-02-07
